variant,source,target,weight
semantic_only,0,2613,0.004380886908620596
semantic_only,0,700,0.003372408216819167
semantic_only,0,2372,0.003372408216819167
semantic_only,0,1000,0.0033116391859948635
semantic_only,0,2359,0.0029205912724137306
semantic_only,1,470,0.0021162915509194136
semantic_only,1,255,0.001587218837812543
semantic_only,1,654,0.0015444706659764051
semantic_only,1,332,0.0015444706659764051
semantic_only,1,2524,0.0014964442234486341
semantic_only,2,149,0.001525702653452754
semantic_only,2,1666,0.0012793405912816525
semantic_only,2,1694,0.001182750565931201
semantic_only,2,1489,0.0011442769318819046
semantic_only,2,2043,0.0011397273046895862
semantic_only,3,604,0.002203876618295908
semantic_only,3,2051,0.0020194659009575844
semantic_only,3,76,0.001929666381329298
semantic_only,3,1141,0.0018177269957959652
semantic_only,3,436,0.0016828881343826652
semantic_only,4,2223,0.002127754967659712
semantic_only,4,2586,0.002049758331850171
semantic_only,4,1256,0.001842689816839993
semantic_only,4,2262,0.0017183170421048999
semantic_only,4,965,0.0016186380526050925
semantic_only,5,2404,0.001863525016233325
semantic_only,5,2211,0.0017744306242093444
semantic_only,5,525,0.0017627179622650146
semantic_only,5,2021,0.001587099046446383
semantic_only,5,2348,0.0015367020387202501
semantic_only,6,2089,0.001895830500870943
semantic_only,6,2203,0.001667212345637381
semantic_only,6,2088,0.001667212345637381
semantic_only,6,1072,0.0016249975888058543
semantic_only,6,1275,0.001515318057499826
semantic_only,7,469,0.005374854896217585
semantic_only,7,2544,0.004861739464104176
semantic_only,7,2384,0.004583691246807575
semantic_only,7,2136,0.004482938442379236
semantic_only,7,926,0.004031140822917223
semantic_only,8,374,0.002376921009272337
semantic_only,8,225,0.002087673405185342
semantic_only,8,281,0.00194676558021456
semantic_only,8,631,0.0017967835301533341
semantic_only,8,256,0.0017849234864115715
semantic_only,9,299,0.0053906626999378204
semantic_only,9,723,0.005390662234276533
semantic_only,9,1175,0.004401457495987415
semantic_only,9,363,0.003936783876270056
semantic_only,9,959,0.0036979643628001213
semantic_only,10,1039,0.00177716463804245
semantic_only,10,1204,0.0016223217826336622
semantic_only,10,2331,0.001606338075362146
semantic_only,10,1244,0.0015610798727720976
semantic_only,10,1651,0.0015586764784529805
semantic_only,11,2104,0.0013101150980219245
semantic_only,11,1924,0.0012958215083926916
semantic_only,11,401,0.0012293242616578937
semantic_only,11,2215,0.0011780796339735389
semantic_only,11,2359,0.0011780796339735389
semantic_only,12,2662,0.019140735268592834
semantic_only,12,29,0.013534543104469776
semantic_only,12,539,0.013534543104469776
semantic_only,12,2661,0.011050907894968987
semantic_only,12,1534,0.010617367923259735
semantic_only,13,1201,0.001875655259937048
semantic_only,13,2658,0.0016487928805872798
semantic_only,13,737,0.001611150917597115
semantic_only,13,63,0.0015785989817231894
semantic_only,13,835,0.001478493446484208
semantic_only,14,159,0.001964973285794258
semantic_only,14,180,0.001964973285794258
semantic_only,14,218,0.0015084106707945466
semantic_only,14,790,0.0014109889743849635
semantic_only,14,222,0.0013302931329235435
semantic_only,15,1093,0.004350537434220314
semantic_only,15,1271,0.003729032352566719
semantic_only,15,261,0.001517664990387857
semantic_only,15,1090,0.0014903175178915262
semantic_only,15,2359,0.0014903175178915262
semantic_only,16,853,0.0031870007514953613
semantic_only,16,758,0.0019417498260736465
semantic_only,16,466,0.0019025183282792568
semantic_only,16,2689,0.0018232116708531976
semantic_only,16,600,0.0017543863505125046
semantic_only,17,927,0.003584039630368352
semantic_only,17,1316,0.002873624674975872
semantic_only,17,2139,0.002804954769089818
semantic_only,17,1315,0.0024850843474268913
semantic_only,17,1931,0.0023463047109544277
semantic_only,18,139,0.003082148963585496
semantic_only,18,968,0.0027567578945308924
semantic_only,18,120,0.002465719124302268
semantic_only,18,1058,0.002465719124302268
semantic_only,18,1251,0.0023509711027145386
semantic_only,19,2531,0.002356064971536398
semantic_only,19,1210,0.0022286141756922007
semantic_only,19,1707,0.002119835000485182
semantic_only,19,2535,0.0020255723502486944
semantic_only,19,2577,0.0020065780263394117
semantic_only,20,941,0.0029943601693958044
semantic_only,20,821,0.002744376426562667
semantic_only,20,2267,0.002587422961369157
semantic_only,20,1779,0.002587422961369157
semantic_only,20,587,0.002518412424251437
semantic_only,21,1561,0.002564267022535205
semantic_only,21,1657,0.0019636654760688543
semantic_only,21,147,0.0018970812670886517
semantic_only,21,1806,0.0018534642877057195
semantic_only,21,1060,0.0018072755774483085
semantic_only,22,789,0.002694864058867097
semantic_only,22,2380,0.0023580060806125402
semantic_only,22,2538,0.00206810818053782
semantic_only,22,2263,0.001972438767552376
semantic_only,22,2473,0.0017395273316651583
semantic_only,23,653,0.004790929611772299
semantic_only,23,1256,0.004285137634724379
semantic_only,23,2159,0.003995911683887243
semantic_only,23,1593,0.0037110389675945044
semantic_only,23,527,0.0035931970924139023
semantic_only,24,2139,0.0036202205810695887
semantic_only,24,150,0.0025341545697301626
semantic_only,24,2141,0.002534154336899519
semantic_only,24,2140,0.002447715727612376
semantic_only,24,2430,0.0024285176768898964
semantic_only,25,1344,0.002407483756542206
semantic_only,25,2475,0.002139985328540206
semantic_only,25,836,0.0017810905119404197
semantic_only,25,2315,0.0017628225032240152
semantic_only,25,2155,0.0017489963211119175
semantic_only,26,1457,0.00223151664249599
semantic_only,26,2454,0.0018595970468595624
semantic_only,26,99,0.001814780873246491
semantic_only,26,363,0.0017178221605718136
semantic_only,26,2276,0.0017178221605718136
semantic_only,27,531,0.0022677720990031958
semantic_only,27,2004,0.0020403950475156307
semantic_only,27,1121,0.001947971642948687
semantic_only,27,2026,0.0018106710631400347
semantic_only,27,1223,0.001753174583427608
semantic_only,28,686,0.002161663491278887
semantic_only,28,919,0.002038035774603486
semantic_only,28,62,0.0019984582904726267
semantic_only,28,1599,0.0019334504613652825
semantic_only,28,1736,0.0018434727098792791
semantic_only,29,2662,0.006789590232074261
semantic_only,29,1318,0.005543677136301994
semantic_only,29,2400,0.004800965078175068
semantic_only,29,808,0.004294113256037235
semantic_only,29,700,0.003919971641153097
semantic_only,30,1080,0.003465220332145691
semantic_only,30,738,0.0023101470433175564
semantic_only,30,2162,0.002021378604695201
semantic_only,30,1990,0.0019371173111721873
semantic_only,30,327,0.0019371173111721873
semantic_only,31,1973,0.001578131690621376
semantic_only,31,2100,0.001380865229293704
semantic_only,31,748,0.001380865229293704
semantic_only,31,1145,0.0013475865125656128
semantic_only,31,1977,0.0013475865125656128
semantic_only,32,666,0.0028018115554004908
semantic_only,32,518,0.0015860848361626267
semantic_only,32,486,0.0013967548729851842
semantic_only,32,1340,0.0013967548729851842
semantic_only,32,707,0.0013595015043392777
semantic_only,33,576,0.00183106807526201
semantic_only,33,879,0.001821796759031713
semantic_only,33,665,0.001821796759031713
semantic_only,33,656,0.0017263476038351655
semantic_only,33,2177,0.0017263476038351655
semantic_only,34,1612,0.0018460366409271955
semantic_only,34,322,0.0017559312982484698
semantic_only,34,919,0.0016256762901321054
semantic_only,34,1139,0.0016256762901321054
semantic_only,34,100,0.0015422520227730274
semantic_only,35,1837,0.00147123949136585
semantic_only,35,69,0.0012741308892145753
semantic_only,35,2408,0.0012741308892145753
semantic_only,35,1340,0.0012741308892145753
semantic_only,35,707,0.001240147976204753
semantic_only,36,1610,0.002553642727434635
semantic_only,36,1505,0.002282019704580307
semantic_only,36,1783,0.0022119618952274323
semantic_only,36,2319,0.0020393282175064087
semantic_only,36,1140,0.0019901804625988007
semantic_only,37,1076,0.0014113322831690311
semantic_only,37,1288,0.0014041863614693284
semantic_only,37,1735,0.0013733214000239968
semantic_only,37,2177,0.001330617000348866
semantic_only,37,1981,0.0012623341754078865
semantic_only,38,1906,0.0015098078874871135
semantic_only,38,2108,0.001473421580158174
semantic_only,38,665,0.0014395451871678233
